message,target
heartless bear,0
worth,0
im created by god,0
end it tme pas game with noob,1
thats why you are guardian you idiot,2
thug doto   ,0
 the squirt is piss ,1
fuck this game,1
o home he imortal,0
thanks for coming,0
yeah why ,0
basher troll though,0
g next,0
when this dick head is whining already,1
need supp players,0
kil the support,0
and it wasnt even u moron marci,2
grandma on fire ,0
the owner of the bear a gay ,2
   observer    secntry in shop all game with   sup,0
feed too much,0
you re literally a retard,2
whats wrong noob,1
party with eazy heart or ruin,0
jugger was really bad,0
 but ty ,0
afk is choice,0
two aghs,0
pa is crying,0
you guys are doing a good job at carrying me to a loss,0
yes sht counts,1
why bane   im sketcher fan    ,0
mather  d,0
cant support thsi shit noob teammates,2
offlane feeders and abusers,0
thats lc all game,0
can u fuck off ,1
we dont have a  ,0
my rubick is an impulsive son of whore whose mom dropped him at birth,2
you know it works when you re dead right ,0
report who,0
rosh all towers,0
is he good ,0
and staying afk in base min   ,0
really retard,1
ofc bro,0
i cant play with  iq fcker,1
stop using that shit,1
wtf u talkin about ,1
you baby on lp,0
it s ok,0
oh crap ,0
watch out lads  this qop is farming while you fuck around top ,1
why dont u just send your mom instead of vitamin b,2
shut up archon noob,2
death and woe to all ruzzians,0
with this timber on my team,0
fight  e,0
now i m gonna ask you who do you think is the acc buyer  ,0
t fnm,0
throne it,0
how many guys have fucked your mother when u were watching ,2
team afk,0
this is hearld you cringe fucker,2
very hard,0
random or pussy,1
sorrey my contempt for the stupid fucking cunt am got in the way,2
dont talk son of whore,2
throne,0
this team scare,0
fucking techies,1
whati n the fuck,1
this game,0
some trash u and pudge,2
any cores ,0
report pudge and zeus total retards,2
pls own him,0
bro i need some crits fuck me ,1
stupid ass herp lol,2
packetloss,0
i got baited,0
my ench flame me,0
herec,0
who was the noob  bh ,1
dont know,0
worth ,0
match,0
btch,1
probably tastes good,0
and the poison,0
this is pritty gay,1
for what,0
classic road to  k guy,0
the last pick uyndying,0
you guys are fkn shit man,1
see the difference in my and jug lvl n farms,0
how i know its not a trap  lol,0
why cant i have some fucking common sense,1
okay but your sister put her bed next to mine,0
for   core,0
puhyssy assssss d shadow blade,1
youre lucky our bs built like a fucking offlane or something,1
im in discord with him,0
brat ty chego,0
medalion or force,0
down syndrome monkey,2
from the lane,0
name chinese,0
